"","x"
"1",-1.33997924157837
"2",-1.00412165681853
"3",-2.25082641872063
"4",-1.46352277317734
"5",0.303211529379748
"6",1.21525231348042
"7",1.27920470585872
"8",0.995504951589203
"9",-2.29666298239444
"10",-1.43302452100619
"11",-1.46990421888506
"12",0.70770235413081
"13",-1.03667649224981
"14",2.13049779258929
"15",1.44877540596222
"16",0.407895600601078
"17",-0.403660602148691
"18",-1.48075751557029
"19",-0.655354471808721
"20",1.60910884801149
"21",0.0547497632449696
"22",0.461631340678621
"23",0.261674389406701
"24",-0.612084398650556
"25",0.18458204950312
"26",0.506076060564583
"27",1.22639495408371
"28",0.210603444835496
"29",0.727729625623935
"30",-0.0921158380131404
"31",-2.76308576277247
"32",0.280895044567324
"33",0.481666369987576
"34",3.94753818684754
"35",3.08229767850355
"36",1.87046554453672
"37",-0.79254412511837
"38",1.86115913007724
"39",0.497040511211284
"40",0.638631390897057
"41",3.98730092626351
"42",1.63917952974834
"43",1.39358063215974
"44",0.258791635205838
"45",1.6458036916561
"46",-0.685270484774679
"47",-0.44296825873724
"48",0.432068552769729
"49",0.980221814313915
"50",0.638623454243091
"51",-1.37250781702471
"52",-0.821252575356469
"53",0.854979728439016
"54",-1.46717458222653
"55",0.262302688604652
"56",1.09111787984888
"57",0.970508602990975
"58",1.39105905209597
"59",-2.2072088887019
"60",2.53113586525774
"61",-0.823915347599491
"62",0.205297065779787
"63",1.3446949824075
"64",-0.181567427266582
"65",2.87361621429921
"66",-1.03252092670146
"67",0.0543765994929322
"68",1.65253748178063
"69",-0.246622790667617
"70",0.0383855070142571
"71",0.378866580403526
"72",-0.368656634073062
"73",0.545819089719783
"74",-2.35301484067474
"75",-0.435532001577675
"76",-0.409896641328325
"77",-1.92917018082472
"78",-0.77901573498295
"79",-1.55038853877281
"80",-2.23537977197014
"81",-0.547766597444516
"82",-0.596038797646381
"83",1.390373220635
"84",-0.315273382890961
"85",-0.839471070005512
"86",1.41974576495859
"87",-2.69220422593389
"88",-0.0666612853987534
"89",0.477198418732035
"90",-1.07813872718926
"91",-0.509539243176462
"92",-1.04835648181339
"93",-1.04543030148024
"94",-0.595951905723027
"95",-0.0554748713874051
"96",2.73891480827313
"97",-1.30783710767482
"98",1.56870528475675
"99",-1.84049901639925
"100",1.31208952102627
"101",1.05797038915223
"102",-1.30803212520672
"103",-0.687782301863098
"104",1.63599617987449
"105",-0.674649716333317
"106",0.413934090857524
"107",-0.486309857689537
"108",1.3472144333207
"109",-1.25898637719374
"110",1.04605086774281
"111",-0.774648377231989
"112",0.562124312980869
"113",-1.09763870642689
"114",1.01031939911634
"115",1.49693437846105
"116",0.364178489452071
"117",0.205765778672021
"118",0.552223030728696
"119",-0.532433185845937
"120",-0.934484917870018
"121",-0.325232637725188
"122",1.98408330761031
"123",-0.99632547454542
"124",1.0049825571572
"125",-1.30415845353621
"126",0.934694103794968
"127",0.210371594365201
"128",-0.817823017024333
"129",-2.36515570064254
"130",-0.886340731046992
"131",-0.847056263883641
"132",2.26637709175507
"133",0.313823507778755
"134",2.20901285042412
"135",-2.36581231813117
"136",-0.0540452035888119
"137",0.331360232891427
"138",0.426914103362012
"139",-1.64093379706856
"140",2.8268727614086
"141",-1.04668803515148
"142",-0.130266678457506
"143",-0.750675834216606
"144",0.957266699482538
"145",1.19466199630407
"146",-3.1326211327315
"147",-1.33593667924557
"148",0.769619467272726
"149",-0.891610295399712
"150",-1.57999634517469
"151",-0.771232901869098
"152",0.288486546798634
"153",-0.668860894934543
"154",0.609700720042078
"155",0.554004293765775
"156",1.43246800771701
"157",2.03427621405147
"158",0.646981396852379
"159",-2.04131762992039
"160",-0.479433520696173
"161",-1.22754144287734
"162",-1.36246205940344
"163",-3.10755805901526
"164",-1.0141034138775
"165",1.16552120037267
"166",-0.581617171639628
"167",-0.551918864895271
"168",-0.710536733488031
"169",-0.303587524579068
"170",2.03310553789031
"171",-0.0120398250864007
"172",-0.823785443654241
"173",1.62195642994042
"174",0.154203928447835
"175",0.230881237376753
"176",0.105624628469524
"177",0.127644447431994
"178",0.795529995969495
"179",0.560850058764576
"180",-0.0956227007573496
"181",-0.362605382914992
"182",0.105508181576059
"183",1.4912654625318
"184",-1.144510656917
"185",0.251552720515644
"186",1.55481413198632
"187",1.17273739718871
"188",0.651000163394905
"189",-0.835481147580978
"190",-0.115588234397727
"191",0.450335025844581
"192",-1.59875927846642
"193",0.355016278369277
"194",-0.571985061930679
"195",0.740982704682523
"196",-0.326649182868945
"197",-0.966239750799762
"198",3.19058003293688
"199",-1.08297582420561
"200",3.13917627062183
"201",-2.29542986335405
"202",-3.50216693654768
"203",0.0697476082570496
"204",0.453224809902096
"205",-0.535576018672295
"206",0.404776636399987
"207",-2.39412853572475
"208",0.61544917632375
"209",1.09825640342632
"210",0.857722709093814
"211",-0.076824476877416
"212",-0.597976142492929
"213",0.382346539264923
"214",-2.4760976415552
"215",2.10531148439726
"216",-0.519838567923788
"217",-0.697864879267403
"218",-0.119367408019595
"219",-1.17074903024256
"220",1.07100159376034
"221",1.25639506934811
"222",0.888436000723512
"223",1.10725462472936
"224",-1.59269676310011
"225",0.931808574952797
"226",-1.68904432306011
"227",-0.0547842020895466
"228",2.69349434727909
"229",-1.27803989919739
"230",-0.568666217404335
"231",0.272167384672663
"232",0.0614753033450732
"233",1.29003591036038
"234",-0.225524715213965
"235",0.482156588376267
"236",-0.91041518318648
"237",0.0828411368993009
"238",2.29197003860556
"239",-1.54755201257114
"240",-1.47931745191758
"241",-1.23229470203504
"242",0.985711800617718
"243",-3.73412619947672
"244",-0.169183792133477
"245",1.16655340522001
"246",-2.15321293471442
"247",0.557240153676059
"248",-0.588155099635536
"249",-1.7145184578519
"250",1.52918183371289
"251",1.55982569370651
"252",-0.83620732667848
"253",-1.71684839281807
"254",0.505327524052539
"255",0.797876030063001
"256",-0.8244812798747
"257",1.19078479478205
"258",-0.0322908322733273
"259",0.622881837972079
"260",0.768393872836386
"261",-0.843741147476544
"262",1.53816466781057
"263",-2.76097630952067
"264",-0.678819897377004
"265",1.18337846489356
"266",1.61978688512322
"267",-1.67390847605024
"268",-0.218047801663916
"269",-0.514358533778674
"270",3.02526018323028
"271",-0.248030006812536
"272",-0.635254154370841
"273",1.69285146037928
"274",-0.728023800603836
"275",-1.03072851061657
"276",-0.830452715952285
"277",2.12665925483088
"278",0.561425010547362
"279",0.865235856830218
"280",-0.335018156840254
"281",2.92734522959662
"282",2.26160357243353
"283",1.38796500744814
"284",-1.51292901096904
"285",-1.40409558330469
"286",0.812000194914376
"287",-1.11673686734725
"288",1.23247516887586
"289",-1.00663046264908
"290",0.610798026204536
"291",1.23116185877806
"292",2.24441963394454
"293",-0.290256025031089
"294",-1.10720364107392
"295",-0.776160408304536
"296",1.1610593466067
"297",-1.54784796303471
"298",-0.00431504590300946
"299",2.29491084784027
"300",1.41125103305699
"301",2.50591706835886
"302",-0.427835899283124
"303",2.75419168355497
"304",-1.01202098598803
"305",1.47171727750706
"306",-0.514141197603454
"307",-1.26189536339553
"308",0.854130615954409
"309",-0.0946000575553843
"310",0.355391791064188
"311",-0.521050585349883
"312",-1.45556951188484
"313",-0.824754026513663
"314",-1.62685900338495
"315",1.27155866128382
"316",-1.34261243078807
"317",-0.542987019659238
"318",-0.36108612960164
"319",-2.1280997333597
"320",-0.854619167798754
"321",-1.41402250719836
"322",-0.757700384511834
"323",0.851366447258471
"324",1.66082587054694
"325",-0.568386256908884
"326",2.24340246830469
"327",-1.27140737031959
"328",-1.47530905583974
"329",3.3679780547726
"330",0.723861296510522
"331",-0.517786811793731
"332",2.33187809991669
"333",1.19693281956517
"334",1.07057505614557
"335",0.898805298392745
"336",-1.99216930480655
"337",-2.13265596870588
"338",-1.25613984222282
"339",0.707154863241667
"340",-2.77929956522678
"341",-2.54824838432029
"342",0.708279430582802
"343",0.196678114074945
"344",2.23853188408693
"345",-2.50284032483168
"346",-0.262061152928812
"347",-0.910517338704171
"348",0.611779034205179
"349",1.28454092593353
"350",-0.983370961207513
"351",-2.33661083291188
"352",-0.822232262631299
"353",0.653497090646376
"354",-0.294864605764682
"355",-0.439196637433355
"356",-0.525564455805946
"357",0.819178442753717
"358",-1.38462402295839
"359",-0.526817035600634
"360",1.44956095575801
"361",0.0103708656833321
"362",-1.61468651924097
"363",-1.81564014663757
"364",-1.80501494526439
"365",-0.967279385571981
